Pitch_Number,count,x_interval,y_interval,percentage,alpha
128,114.0,"(25.0, 30.0)","(35.0, 40.0)",0.002907125006375274,0.3157894736842105
129,199.0,"(25.0, 30.0)","(40.0, 45.0)",0.005074718212883154,0.5512465373961218
130,210.0,"(25.0, 30.0)","(45.0, 50.0)",0.005355230274901821,0.5817174515235457
131,176.0,"(25.0, 30.0)","(50.0, 55.0)",0.004488192992298669,0.48753462603878117
132,179.0,"(25.0, 30.0)","(55.0, 60.0)",0.004564696281940123,0.49584487534626037
133,213.0,"(25.0, 30.0)","(60.0, 65.0)",0.005431733564543275,0.590027700831025
134,154.0,"(25.0, 30.0)","(65.0, 70.0)",0.003927168868261335,0.4265927977839335
135,167.0,"(25.0, 30.0)","(70.0, 75.0)",0.004258683123374305,0.4626038781163435
136,153.0,"(25.0, 30.0)","(75.0, 80.0)",0.0039016677717141836,0.42382271468144045
137,103.0,"(25.0, 30.0)","(80.0, 85.0)",0.002626612944356607,0.2853185595567867
138,96.0,"(25.0, 30.0)","(85.0, 90.0)",0.002448105268526547,0.2659279778393352
139,81.0,"(25.0, 30.0)","(90.0, 95.0)",0.0020655888203192736,0.22437673130193905
140,75.0,"(25.0, 30.0)","(95.0, 100.0)",0.0019125822410363646,0.2077562326869806
141,37.0,"(25.0, 30.0)","(100.0, 105.0)",0.0009435405722446065,0.10249307479224377
142,25.0,"(25.0, 30.0)","(105.0, 110.0)",0.0006375274136787882,0.06925207756232687
143,19.0,"(25.0, 30.0)","(110.0, 115.0)",0.000484520834395879,0.05263157894736842
144,26.0,"(25.0, 30.0)","(115.0, 120.0)",0.0006630285102259397,0.07202216066481995
145,52.0,"(30.0, 35.0)","(0.0, 5.0)",0.0013260570204518794,0.1440443213296399
146,141.0,"(30.0, 35.0)","(5.0, 10.0)",0.003595654613148365,0.39058171745152354
147,101.0,"(30.0, 35.0)","(10.0, 15.0)",0.0025756107512623044,0.27977839335180055
148,60.0,"(30.0, 35.0)","(15.0, 20.0)",0.0015300657928290916,0.16620498614958448
149,78.0,"(30.0, 35.0)","(20.0, 25.0)",0.001989085530677819,0.21606648199445982
150,92.0,"(30.0, 35.0)","(25.0, 30.0)",0.0023461008823379404,0.2548476454293629
151,89.0,"(30.0, 35.0)","(30.0, 35.0)",0.002269597592696486,0.24653739612188366
152,111.0,"(30.0, 35.0)","(35.0, 40.0)",0.0028306217167338196,0.3074792243767313
153,163.0,"(30.0, 35.0)","(40.0, 45.0)",0.004156678737185699,0.4515235457063712
154,156.0,"(30.0, 35.0)","(45.0, 50.0)",0.003978171061355638,0.43213296398891965
155,139.0,"(30.0, 35.0)","(50.0, 55.0)",0.0035446524200540624,0.3850415512465374
156,176.0,"(30.0, 35.0)","(55.0, 60.0)",0.004488192992298669,0.48753462603878117
